year,site_number,site_number_jupyter,watts
2010,omni-directional_wave_power_0,0,31294.25719
2010,omni-directional_wave_power_1,1,43359.34452
2010,omni-directional_wave_power_2,2,46928.99829
2010,omni-directional_wave_power_3,3,49361.94692
2010,omni-directional_wave_power_4,4,51510.66027
2010,omni-directional_wave_power_5,5,8974.068151
2010,omni-directional_wave_power_6,6,27934.28253
2010,omni-directional_wave_power_7,7,44004.98562
2010,omni-directional_wave_power_8,8,46957.98836
2010,omni-directional_wave_power_9,9,49453.4339
2010,omni-directional_wave_power_10,10,51736.90616
2010,omni-directional_wave_power_11,11,38934.41404
2010,omni-directional_wave_power_12,12,40063.14212
2010,omni-directional_wave_power_13,13,43950.07774
2010,omni-directional_wave_power_14,14,47316.0161
2010,omni-directional_wave_power_15,15,49645.95651
2010,omni-directional_wave_power_16,16,52063.60582
2010,omni-directional_wave_power_17,17,34104.9661
2010,omni-directional_wave_power_18,18,41929.73356
2010,omni-directional_wave_power_19,19,44061.21747
2010,omni-directional_wave_power_20,20,47544.26712
2010,omni-directional_wave_power_21,21,49921.69007
2010,omni-directional_wave_power_22,22,52445.53767
2010,omni-directional_wave_power_23,23,34995.7274
2010,omni-directional_wave_power_24,24,39936.93836
2010,omni-directional_wave_power_25,25,44345.32158
2010,omni-directional_wave_power_26,26,47429.87705
2010,omni-directional_wave_power_27,27,50169.66541
2010,omni-directional_wave_power_28,28,52672.225
2010,omni-directional_wave_power_29,29,4.108561644
2010,omni-directional_wave_power_30,30,40068.22945
2010,omni-directional_wave_power_31,31,44353.74897
2010,omni-directional_wave_power_32,32,47441.07226
2010,omni-directional_wave_power_33,33,50645.89281
2010,omni-directional_wave_power_34,34,52817.67363
2010,omni-directional_wave_power_35,35,54510.59863
2010,omni-directional_wave_power_36,36,55269.72363
2010,omni-directional_wave_power_37,37,30450.09418
2010,omni-directional_wave_power_38,38,39748.7589
2010,omni-directional_wave_power_39,39,43992.23356
2010,omni-directional_wave_power_40,40,47447.64726
2010,omni-directional_wave_power_41,41,50535.34692
2010,omni-directional_wave_power_42,42,52840.08151
2010,omni-directional_wave_power_43,43,54461.29555
2010,omni-directional_wave_power_44,44,1685.971918
2010,omni-directional_wave_power_45,45,37213.0024
2010,omni-directional_wave_power_46,46,43259.53562
2010,omni-directional_wave_power_47,47,47737.90445
2010,omni-directional_wave_power_48,48,50893.7726
2010,omni-directional_wave_power_49,49,52945.30548
2010,omni-directional_wave_power_50,50,54320.41267
2010,omni-directional_wave_power_51,51,41664.19281
2010,omni-directional_wave_power_52,52,40599.48082
