,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction
0,3688.0835,35.7689,-122.94,110793.92,-8,Federal
1,4253.964,35.7716,-124.66,255347.02,-8,Federal
2,97.4477,35.777,-121.442,7077.6934,-8,Federal
3,4197.285,35.774,-124.517,242764.47,-8,Federal
4,3391.0352,35.7788,-122.477,77705.13,-8,Federal
5,3698.3264,35.7842,-123.378,144913.98,-8,Federal
6,3340.2847,35.7831,-122.557,82615.89,-8,Federal
7,3715.7808,35.7882,-123.569,160672.2,-8,Federal
8,4035.644,35.7871,-124.177,212764.73,-8,Federal
9,3340.2847,35.7831,-122.557,82615.89,-8,Federal
10,1141.2677,35.7917,-121.863,36624.414,-8,Federal
11,693.2917,35.7876,-121.625,18111.217,-8,Federal
12,101.9298,35.79,-121.454,6923.2104,-8,Federal
13,954.5419,35.7939,-121.743,27062.791,-8,Federal
14,611.8268,35.79,-121.569,14153.125,-8,Federal
15,1072.1416,35.7923,-121.821,33729.285,-8,Federal
16,1739.0333,35.7888,-122.66,89080.89,-8,Federal
17,3707.6675,35.7964,-123.194,129281.195,-8,Federal
18,3684.375,35.8016,-123.408,146633.28,-8,Federal
19,4244.664,35.8024,-124.562,245921.83,-8,Federal
20,3647.9956,35.8001,-122.961,110578.266,-8,Federal
21,3374.7563,35.7977,-122.447,74288.39,-8,Federal
22,1462.8644,35.795,-122.207,60236.664,-8,Federal
23,3530.231,35.7974,-122.805,98903.84,-8,Federal
24,3366.4482,35.792,-122.492,77747.18,-8,Federal
25,3316.5354,35.8054,-122.506,77606.64,-8,Federal
26,3571.2659,35.7991,-122.939,108933.664,-8,Federal
27,1056.3843,35.8043,-121.812,32432.984,-8,Federal
28,3725.1255,35.8041,-123.744,174900.16,-8,Federal
29,3307.2322,35.8105,-122.585,82381.89,-8,Federal
30,3712.1533,35.8071,-123.474,151917.14,-8,Federal
31,3965.0623,35.806,-124.28,221151.89,-8,Federal
32,2007.8866,35.8045,-122.651,87340.34,-8,Federal
33,3256.5515,35.8109,-122.462,74324.59,-8,Federal
34,3586.6333,35.8126,-122.927,107229.49,-8,Federal
35,621.2638,35.8109,-121.585,13667.245,-8,Federal
36,3828.441,35.8174,-123.944,191626.95,-8,Federal
37,3290.8374,35.8134,-122.563,80692.516,-8,Federal
38,3721.0344,35.8124,-123.497,153633.0,-8,Federal
39,3722.2,35.8037,-123.534,157099.16,-8,Federal
40,956.7238,35.8134,-121.748,26729.57,-8,Federal
41,369.0464,35.8129,-121.507,8371.115,-8,Federal
42,3623.46,35.8101,-122.838,100574.52,-8,Federal
43,427.709,35.8178,-121.533,9686.597,-8,Federal
44,4272.0444,35.8298,-124.734,257335.33,-8,Federal
45,4272.0444,35.8298,-124.734,257335.33,-8,Federal
46,3555.6726,35.8285,-122.762,93742.31,-8,Federal
47,4274.8184,35.8131,-124.594,248054.14,-8,Federal
48,3692.1663,35.8187,-123.291,136173.44,-8,Federal
49,909.37,35.825,-121.729,24706.906,-8,Federal
50,4247.694,35.8369,-124.714,255398.03,-8,Federal
51,3636.1877,35.8282,-122.937,107128.734,-8,Federal
52,4240.4883,35.8274,-124.68,253464.8,-8,Federal
53,3707.3398,35.8307,-122.96,108797.04,-8,Federal
54,98.0,35.825,-121.45,4382.368,-8,California
55,382.5421,35.8316,-121.523,7941.361,-8,Federal
56,965.0544,35.8334,-121.761,26988.893,-8,Federal
57,3806.2148,35.8407,-123.822,180330.94,-8,Federal
58,3713.943,35.832,-123.025,113884.39,-8,Federal
59,157.4615,35.8315,-121.473,4872.414,-8,California
60,3697.9248,35.8416,-123.489,151803.83,-8,Federal
61,3689.706,35.8352,-123.696,169681.58,-8,Federal
62,3842.4172,35.835,-123.952,191756.52,-8,Federal
63,1258.4437,35.833,-121.993,43318.797,-8,Federal
64,3976.9082,35.8289,-124.317,223734.05,-8,Federal
65,3319.7886,35.8466,-122.548,77223.53,-8,Federal
66,3779.1694,35.8455,-123.782,176722.38,-8,Federal
67,3708.622,35.847,-122.97,108716.82,-8,Federal
68,2241.4888,35.8394,-122.29,61011.24,-8,Federal
69,4247.474,35.8418,-124.567,244209.6,-8,Federal
70,3685.859,35.8488,-123.16,124007.836,-8,Federal
71,3249.4143,35.8515,-122.504,73908.21,-8,Federal
72,3920.0935,35.849,-124.169,210230.78,-8,Federal
73,4245.83,35.8402,-124.64,249688.22,-8,Federal
74,3698.4263,35.8389,-123.551,157168.53,-8,Federal
75,3861.408,35.8525,-123.961,191998.2,-8,Federal
76,2967.973,35.847,-122.349,64092.805,-8,Federal
77,3866.1895,35.8621,-123.895,185972.86,-8,Federal
78,4112.3906,35.8502,-124.426,232729.28,-8,Federal
79,3814.3765,35.8585,-123.829,180362.0,-8,Federal
80,1384.0983,35.851,-122.08,48763.26,-8,Federal
81,4228.1294,35.8615,-124.483,236790.94,-8,Federal
82,3771.31,35.8572,-123.766,174957.17,-8,Federal
83,3682.8364,35.8666,-123.005,110522.14,-8,Federal
84,430.6066,35.8658,-121.546,7577.63,-8,Federal
85,900.7258,35.8685,-121.735,22491.727,-8,Federal
86,4228.8076,35.8639,-124.559,242193.97,-8,Federal
87,3707.6301,35.8599,-123.606,161101.81,-8,Federal
88,3831.0293,35.8659,-123.853,182210.8,-8,Federal
89,3676.2915,35.8793,-123.052,113732.81,-8,Federal
90,751.9249,35.8697,-121.654,17038.547,-8,Federal
91,3887.1057,35.8706,-124.091,202809.5,-8,Federal
92,3675.3438,35.8699,-123.667,166000.98,-8,Federal
93,542.951,35.8748,-121.583,10607.115,-8,Federal
94,3500.6394,35.8654,-122.657,83636.664,-8,Federal
95,4227.7607,35.8804,-124.572,242098.72,-8,Federal
96,3869.223,35.8733,-123.877,184069.69,-8,Federal
97,1061.597,35.8759,-121.827,28094.24,-8,Federal
98,4294.306,35.8783,-124.777,255971.56,-8,Federal
99,3972.654,35.8859,-124.215,213273.1,-8,Federal
100,4367.877,35.8794,-124.832,258924.14,-8,Federal
101,3812.9045,35.8811,-123.796,176797.48,-8,Federal
102,3812.9045,35.8811,-123.796,176797.48,-8,Federal
103,3660.2693,35.8811,-123.444,146495.05,-8,Federal
104,3646.0156,35.8852,-123.099,117327.19,-8,Federal
105,3640.1816,35.8942,-123.122,118835.79,-8,Federal
106,4085.3286,35.8871,-124.405,229442.89,-8,Federal
107,1752.4913,35.8919,-122.115,46652.992,-8,Federal
108,4236.63,35.9019,-124.565,240220.06,-8,Federal
109,3640.8496,35.8978,-122.999,108528.27,-8,Federal
110,3618.508,35.901,-123.309,134272.39,-8,Federal
111,4084.7373,35.9072,-124.396,227459.39,-8,Federal
112,3925.5247,35.9002,-123.999,193949.53,-8,Federal
113,3933.591,35.9032,-124.106,203254.84,-8,Federal
114,3644.8237,35.8987,-123.452,146547.69,-8,Federal
