,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction
0,4147.4873,38.4816,-125.961,199849.03,-8,Federal
1,4197.838,38.477,-125.834,189367.4,-8,Federal
2,4098.6763,38.4798,-125.714,179281.52,-8,Federal
3,103.6534,38.4763,-123.355,8871.466,-8,Federal
4,3660.8218,38.4847,-125.382,151689.0,-8,Federal
5,4318.9385,38.4899,-126.377,234718.0,-8,Federal
6,3505.162,38.4837,-124.595,89507.84,-8,Federal
7,2123.4417,38.4832,-123.898,43779.4,-8,Federal
8,3868.3333,38.4804,-124.867,110340.35,-8,Federal
9,4350.3477,38.488,-126.423,238669.67,-8,Federal
10,3411.1384,38.4859,-124.149,59094.016,-8,Federal
11,4314.5723,38.4885,-126.354,232804.62,-8,Federal
12,62.7326,38.4895,-123.27,2764.8452,-8,California
13,3472.3594,38.4899,-124.235,64579.402,-8,Federal
14,4287.1387,38.485,-126.168,217167.55,-8,Federal
15,700.6441,38.4876,-123.675,29391.865,-8,Federal
16,4468.4297,38.4987,-126.849,274697.22,-8,Federal
17,4314.5723,38.4885,-126.354,232804.62,-8,Federal
18,3644.3525,38.4946,-125.298,144407.95,-8,Federal
19,3078.1733,38.4927,-123.994,48613.707,-8,Federal
20,206.079,38.4961,-123.585,22180.72,-8,Federal
21,4013.3357,38.4872,-125.672,175541.39,-8,Federal
22,3544.4836,38.5008,-124.32,69255.78,-8,Federal
23,3699.4277,38.5039,-124.655,92804.6,-8,Federal
24,4299.7246,38.5044,-126.336,230864.75,-8,Federal
25,3674.77,38.5065,-125.281,142571.17,-8,Federal
26,3531.4072,38.5007,-124.295,67662.49,-8,Federal
27,4447.8906,38.5124,-126.641,256626.8,-8,Federal
28,1905.0203,38.5142,-123.854,38624.523,-8,Federal
29,3565.955,38.5132,-124.592,87548.79,-8,Federal
30,3799.7664,38.51,-124.861,108439.86,-8,Federal
31,4299.199,38.5196,-126.226,221140.97,-8,Federal
32,4289.1914,38.5053,-126.154,215422.38,-8,Federal
33,3637.7095,38.5197,-125.374,149754.77,-8,Federal
34,3800.5986,38.5053,-124.792,103252.13,-8,Federal
35,4163.6196,38.5074,-125.792,184890.45,-8,Federal
36,122.8878,38.5143,-123.447,11263.121,-8,Federal
37,4426.4604,38.5135,-126.571,250631.47,-8,Federal
38,102.9,38.5197,-123.401,7711.7383,-8,Federal
39,3703.0222,38.5234,-125.42,153411.06,-8,Federal
40,3745.118,38.5103,-125.172,133479.53,-8,Federal
41,3595.8188,38.5117,-124.451,77382.36,-8,Federal
42,4233.646,38.5116,-126.063,207559.34,-8,Federal
43,4014.935,38.5248,-125.684,175309.02,-8,Federal
44,4288.3257,38.524,-126.342,230881.56,-8,Federal
45,4092.3516,38.5179,-125.727,179122.39,-8,Federal
46,3781.3062,38.5223,-124.802,103204.36,-8,Federal
47,141.2783,38.5272,-123.527,16056.866,-8,Federal
48,3759.6301,38.5239,-125.156,131650.62,-8,Federal
49,3781.3062,38.5223,-124.802,103204.36,-8,Federal
50,4303.9507,38.5289,-126.413,236804.81,-8,Federal
51,3437.457,38.5359,-124.254,62381.105,-8,Federal
52,888.571,38.5365,-123.737,29746.287,-8,Federal
53,3834.7134,38.5315,-124.984,117333.09,-8,Federal
54,3590.2976,38.54,-124.45,75510.33,-8,Federal
55,3630.2478,38.534,-124.515,80621.93,-8,Federal
56,4143.7607,38.5523,-125.843,187856.33,-8,Federal
57,3608.6746,38.5532,-125.343,145993.55,-8,Federal
58,4337.1787,38.5452,-126.465,240859.1,-8,Federal
59,4270.397,38.5488,-126.19,217348.3,-8,Federal
60,64.9439,38.5462,-123.326,1497.5175,-8,California
61,3687.6313,38.5354,-125.271,140712.48,-8,Federal
62,3767.0688,38.5454,-125.472,156960.8,-8,Federal
63,3750.7546,38.5419,-125.164,131644.36,-8,Federal
64,4249.1816,38.5386,-126.096,209625.97,-8,Federal
65,3611.3274,38.5433,-124.475,77126.766,-8,Federal
66,3758.9185,38.5511,-125.102,126202.98,-8,Federal
67,3758.6885,38.5482,-125.079,124420.27,-8,Federal
68,2551.208,38.5593,-124.072,48676.004,-8,Federal
69,95.5594,38.5566,-123.411,6210.5938,-8,Federal
70,2551.208,38.5593,-124.072,48676.004,-8,Federal
71,4272.4487,38.5475,-126.373,232959.05,-8,Federal
72,4293.1567,38.5523,-126.306,227136.92,-8,Federal
73,4140.702,38.5475,-125.801,184449.81,-8,Federal
74,163.7501,38.5601,-123.62,20807.438,-8,Federal
