,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction
0,3812.557,30.7614,-120.764,292190.8,-8,Federal
1,3837.524,30.7606,-120.878,300920.72,-8,Federal
2,3782.818,30.7837,-120.751,292701.8,-8,Federal
3,3891.1384,30.8,-120.879,297587.5,-8,Federal
4,3920.1829,30.8091,-120.829,294697.9,-8,Federal
5,3920.1829,30.8091,-120.829,294697.9,-8,Federal
6,3933.637,30.8173,-120.893,296410.94,-8,Federal
7,3815.4607,30.8228,-120.753,290418.7,-8,Federal
8,3921.6492,30.8264,-120.958,298191.7,-8,Federal
9,3893.9211,30.824,-120.637,286171.44,-8,Federal
10,3924.9795,30.8331,-120.587,283965.53,-8,Federal
11,3921.6492,30.8264,-120.958,298191.7,-8,Federal
12,3921.6492,30.8264,-120.958,298191.7,-8,Federal
13,3921.6492,30.8264,-120.958,298191.7,-8,Federal
14,3892.201,30.848,-120.395,271402.9,-8,Federal
15,3910.6187,30.8425,-120.974,297273.47,-8,Federal
16,3900.0532,30.8398,-120.33,266284.72,-8,Federal
17,3745.3164,30.8581,-120.667,283685.7,-8,Federal
18,3824.4697,30.8469,-120.511,279494.22,-8,Federal
19,3782.5676,30.8626,-120.642,282348.2,-8,Federal
20,3799.5217,30.8684,-120.501,277135.62,-8,Federal
21,3836.5396,30.8775,-120.45,274646.03,-8,Federal
22,3929.1538,30.8744,-121.01,295689.2,-8,Federal
23,3836.5396,30.8775,-120.45,274646.03,-8,Federal
24,3878.6023,30.8789,-120.334,269595.53,-8,Federal
25,3878.6023,30.8789,-120.334,269595.53,-8,Federal
26,3895.999,30.8788,-120.877,289590.34,-8,Federal
27,3753.631,30.8811,-120.101,254468.0,-8,Federal
28,3860.3015,30.8891,-120.938,291113.12,-8,Federal
29,3850.6304,30.8878,-120.827,286665.78,-8,Federal
30,3880.2463,30.8833,-120.852,288121.62,-8,Federal
31,3860.3015,30.8891,-120.938,291113.12,-8,Federal
32,3848.7422,30.9048,-120.84,285476.44,-8,Federal
33,3807.6675,30.9025,-120.529,274440.6,-8,Federal
34,3931.2522,30.9095,-120.274,266288.56,-8,Federal
35,3806.7751,30.907,-120.504,273180.03,-8,Federal
36,3954.5488,30.9195,-120.976,289753.66,-8,Federal
37,3687.3875,30.913,-120.04,253341.64,-8,Federal
38,3866.0002,30.9334,-120.466,269237.47,-8,Federal
39,3941.035,30.9232,-120.198,262928.16,-8,Federal
40,3908.301,30.9444,-120.189,260437.75,-8,Federal
41,3930.632,30.9399,-120.215,261547.14,-8,Federal
42,3890.99,30.938,-120.441,268001.0,-8,Federal
43,3625.3792,30.946,-120.072,257719.45,-8,Federal
44,3751.459,30.9389,-120.758,278790.28,-8,Federal
45,3672.428,30.9536,-119.812,242989.95,-8,Federal
46,3798.6763,30.9501,-120.803,279432.12,-8,Federal
47,3904.2883,30.9523,-120.898,283136.72,-8,Federal
48,3989.9885,30.9545,-120.993,287073.7,-8,Federal
49,3792.3362,30.9725,-120.679,272377.0,-8,Federal
50,3663.3086,30.9582,-119.786,241243.39,-8,Federal
51,3924.585,30.9633,-120.944,284035.5,-8,Federal
52,3892.0852,30.983,-120.192,256366.58,-8,Federal
53,3597.2966,30.9852,-119.964,248142.27,-8,Federal
54,3692.0227,30.9704,-119.828,242236.5,-8,Federal
55,3878.1045,30.9852,-120.821,276638.62,-8,Federal
56,3547.825,30.9884,-120.054,252923.98,-8,Federal
57,3934.144,30.9919,-120.891,278910.94,-8,Federal
58,3943.402,30.9988,-120.959,281212.47,-8,Federal
59,3853.5693,30.9896,-120.797,275219.28,-8,Federal
60,3909.2385,30.99,-120.368,260378.48,-8,Federal
61,3933.0576,30.9963,-120.867,277450.56,-8,Federal
62,3934.144,30.9919,-120.891,278910.94,-8,Federal
63,3704.2568,30.9915,-119.821,239907.33,-8,Federal
64,3369.342,31.0048,-119.616,228572.33,-8,Federal
65,3824.9438,30.992,-120.142,254228.94,-8,Federal
66,3369.342,31.0048,-119.616,228572.33,-8,Federal
67,3918.2097,31.0032,-120.934,279669.22,-8,Federal
68,3933.2231,31.0075,-120.91,278191.88,-8,Federal
69,3806.7683,30.9984,-120.748,272378.47,-8,Federal
70,3538.0662,31.0049,-119.745,234780.8,-8,Federal
71,3729.3652,31.011,-119.929,243877.81,-8,Federal
72,3882.1719,31.0138,-120.769,271658.78,-8,Federal
73,3877.3645,31.0065,-120.383,259074.38,-8,Federal
74,3856.2378,31.0183,-120.424,259038.06,-8,Federal
75,3800.2234,31.0225,-120.72,268846.25,-8,Federal
76,3570.583,31.02,-119.879,240338.77,-8,Federal
77,3632.9927,31.0233,-119.281,212859.69,-8,Federal
78,3846.8071,31.03,-120.466,259107.86,-8,Federal
79,3939.1455,31.0287,-120.26,253219.11,-8,Federal
80,3846.0142,31.0444,-120.599,262095.03,-8,Federal
81,3846.3247,31.0372,-120.532,260512.31,-8,Federal
82,3583.1836,31.0403,-119.982,244201.67,-8,Federal
83,3840.5938,31.046,-120.483,257979.62,-8,Federal
84,3707.0605,31.0435,-120.071,247129.3,-8,Federal
85,3556.0327,31.0493,-119.932,240582.95,-8,Federal
86,3652.2688,31.0429,-119.27,210451.25,-8,Federal
87,3840.5938,31.046,-120.483,257979.62,-8,Federal
88,3667.695,31.0407,-119.347,213541.05,-8,Federal
89,3685.6646,31.0399,-119.372,214596.55,-8,Federal
90,3938.1287,31.0564,-120.319,251932.61,-8,Federal
91,3863.6824,31.0573,-120.526,258225.17,-8,Federal
92,3301.3154,31.0525,-119.515,219336.72,-8,Federal
93,3647.609,31.0422,-119.295,211430.39,-8,Federal
94,3941.973,31.0439,-120.919,275007.47,-8,Federal
95,3380.2754,31.0642,-119.208,206090.23,-8,Federal
96,3498.4514,31.054,-119.489,218045.69,-8,Federal
97,3673.522,31.0556,-119.793,232492.23,-8,Federal
98,3594.5823,31.0582,-119.882,237017.12,-8,Federal
99,3672.2107,31.0594,-119.362,212233.34,-8,Federal
100,4026.1035,31.0623,-121.027,278177.16,-8,Federal
101,3547.0,31.0587,-119.014,200831.95,-8,Federal
102,3850.9854,31.0757,-120.105,244379.34,-8,Federal
103,3891.3928,31.0757,-120.636,260239.36,-8,Federal
104,3682.4043,31.0686,-120.038,243741.62,-8,Federal
105,3538.547,31.072,-119.693,225843.52,-8,Federal
106,3984.455,31.0666,-121.003,276631.84,-8,Federal
107,3899.4336,31.0773,-120.521,255982.58,-8,Federal
108,3988.154,31.0731,-121.072,279301.66,-8,Federal
109,3636.0,31.0889,-119.542,216997.64,-8,Federal
110,3369.3987,31.0828,-118.979,197361.97,-8,Federal
111,3793.9062,31.0801,-120.081,243381.73,-8,Federal
