,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction
0,745.6084,33.3636,-119.399,13092.823,-8,Federal
1,2800.5967,33.3645,-121.063,92710.336,-8,Federal
2,3732.0,33.359,-121.369,112677.13,-8,Federal
3,4437.182,33.3715,-122.478,201260.73,-8,Federal
4,1326.0468,33.3593,-118.777,20429.941,-8,Federal
5,758.3602,33.3673,-118.178,12715.87,-8,Federal
6,1002.2647,33.3602,-118.927,15226.067,-8,Federal
7,4213.9087,33.3656,-122.718,222372.08,-8,Federal
8,3845.4297,33.3666,-121.657,133472.25,-8,Federal
9,1269.1434,33.3642,-118.817,22936.508,-8,Federal
10,1162.8964,33.3707,-120.155,54603.367,-8,Federal
11,121.7053,33.371,-118.307,2652.2312,-8,California
12,4332.6226,33.37,-122.885,236884.7,-8,Federal
13,4050.212,33.3761,-122.091,168087.89,-8,Federal
14,4247.5034,33.3781,-122.847,233246.81,-8,Federal
15,2505.1343,33.377,-120.699,75595.97,-8,Federal
16,1096.0,33.3684,-120.489,67602.414,-8,Federal
17,3557.4517,33.3731,-121.172,98485.7,-8,Federal
18,1291.256,33.3744,-118.725,15634.374,-8,Federal
19,482.4617,33.3754,-117.699,8348.452,-8,Federal
20,1349.0,33.3764,-118.77,18797.535,-8,Federal
21,1349.0,33.3764,-118.77,18797.535,-8,Federal
22,3154.321,33.3798,-120.768,77481.164,-8,Federal
23,442.2342,33.3791,-117.971,23844.633,-8,Federal
24,1100.4796,33.3794,-120.61,72297.125,-8,Federal
25,3726.6006,33.387,-121.329,107831.29,-8,Federal
26,18.4432,33.3796,-118.483,95.95973,-8,California
27,3364.662,33.3862,-120.964,85403.44,-8,Federal
28,3010.937,33.3771,-121.066,91775.53,-8,Federal
29,585.8763,33.3877,-120.289,58314.984,-8,Federal
30,3944.6885,33.3875,-121.825,145580.02,-8,Federal
31,3690.6235,33.3803,-121.204,99938.695,-8,Federal
32,4208.2563,33.3751,-122.662,217114.45,-8,Federal
33,3881.8162,33.3868,-122.144,172034.61,-8,Federal
34,676.0,33.3871,-117.827,13198.608,-8,Federal
