"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"1",0,21.9846,5409.831,-8,"California","5yrave","omni-directional_wave_power_0",25873.41489,c(41.9165, -124.271)
"2",1,137.7567,16993.947,-8,"Federal","5yrave","omni-directional_wave_power_1",35518.18377,c(41.9162, -124.418)
"3",2,467.6843,27229.455,-8,"Federal","5yrave","omni-directional_wave_power_2",38446.86207,c(41.9193, -124.589)
"4",3,700.184,38976.855,-8,"Federal","5yrave","omni-directional_wave_power_3",40520.07362,c(41.9151, -124.76)
"5",4,909.8214,50498.59,-8,"Federal","5yrave","omni-directional_wave_power_4",42370.37113,c(41.9152, -124.915)
"6",5,3.3593,876.8422,-8,"California","5yrave","omni-directional_wave_power_5",7810.680887,c(41.6974, -124.154)
"7",6,25.113,2764.4822,-8,"California","5yrave","omni-directional_wave_power_6",21720.59058,c(41.7381, -124.266)
"8",7,120.4762,13607.421,-8,"Federal","5yrave","omni-directional_wave_power_7",36140.07036,c(41.7511, -124.416)
"9",8,565.5,26822.703,-8,"Federal","5yrave","omni-directional_wave_power_8",38561.53452,c(41.7532, -124.577)
"10",9,861.5272,41262.883,-8,"Federal","5yrave","omni-directional_wave_power_9",40709.57522,c(41.7414, -124.75)
"11",10,1003.8588,54888.23,-8,"Federal","5yrave","omni-directional_wave_power_10",42688.43879,c(41.7535, -124.916)
"12",11,26.3387,2620.3801,-8,"California","5yrave","omni-directional_wave_power_11",31509.88526,c(41.5698, -124.134)
"13",12,48.6343,11917.785,-8,"Federal","5yrave","omni-directional_wave_power_12",32842.2063,c(41.5826, -124.252)
"14",13,117.098,24010.6,-8,"Federal","5yrave","omni-directional_wave_power_13",36191.27745,c(41.5824, -124.415)
"15",14,747.4868,34572.414,-8,"Federal","5yrave","omni-directional_wave_power_14",38964.30579,c(41.5788, -124.589)
"16",15,893.9741,45635.625,-8,"Federal","5yrave","omni-directional_wave_power_15",40971.04107,c(41.5886, -124.75)
"17",16,1075.0443,59270.168,-8,"Federal","5yrave","omni-directional_wave_power_16",43120.62566,c(41.5737, -124.919)
"18",17,24.0016,4261.9644,-8,"California","5yrave","omni-directional_wave_power_17",27819.69039,c(41.4183, -124.117)
"19",18,71.6005,15569.152,-8,"Federal","5yrave","omni-directional_wave_power_18",34480.96038,c(41.4175, -124.253)
"20",19,116.2302,28874.195,-8,"Federal","5yrave","omni-directional_wave_power_19",36347.60939,c(41.4163, -124.413)
"21",20,1050.3694,43757.918,-8,"Federal","5yrave","omni-directional_wave_power_20",39249.73502,c(41.4213, -124.593)
"22",21,1060.5267,56002.52,-8,"Federal","5yrave","omni-directional_wave_power_21",41310.50628,c(41.4223, -124.75)
"23",22,949.8721,67250.72,-8,"Federal","5yrave","omni-directional_wave_power_22",43549.59591,c(41.4245, -124.923)
"24",23,22.9322,2832.5254,-8,"California","5yrave","omni-directional_wave_power_23",29001.66137,c(41.2595, -124.135)
"25",24,82.6624,11963.529,-8,"Federal","5yrave","omni-directional_wave_power_24",33057.80952,c(41.2504, -124.251)
"26",25,306.6239,24684.307,-8,"Federal","5yrave","omni-directional_wave_power_25",36692.9033,c(41.2531, -124.418)
"27",26,1092.2957,36819.73,-8,"Federal","5yrave","omni-directional_wave_power_26",39267.81247,c(41.2502, -124.579)
"28",27,1181.3209,50436.832,-8,"Federal","5yrave","omni-directional_wave_power_27",41618.45696,c(41.2516, -124.748)
"29",28,1457.0248,64000.51,-8,"Federal","5yrave","omni-directional_wave_power_28",43848.74048,c(41.2507, -124.914)
"30",29,0.1994,93.35619,-8,"California","5yrave","omni-directional_wave_power_29",4.008081163,c(41.0558, -124.145)
"31",30,69.8737,7143.969,-8,"Federal","5yrave","omni-directional_wave_power_30",33264.43063,c(41.0822, -124.253)
"32",31,437.743,20818.576,-8,"Federal","5yrave","omni-directional_wave_power_31",36833.63361,c(41.0809, -124.416)
"33",32,835.3074,34259.48,-8,"Federal","5yrave","omni-directional_wave_power_32",39397.86333,c(41.0759, -124.576)
"34",33,979.0492,49899.336,-8,"Federal","5yrave","omni-directional_wave_power_33",42125.86259,c(41.0866, -124.762)
"35",34,1931.9658,62328.54,-8,"Federal","5yrave","omni-directional_wave_power_34",44072.57174,c(41.0752, -124.91)
"36",35,3115.5,81957.71,-8,"Federal","5yrave","omni-directional_wave_power_35",45118.64583,c(41.7535, -125.242)
"37",36,3136.6997,92010.82,-8,"Federal","5yrave","omni-directional_wave_power_36",46189.81337,c(41.2584, -125.251)
"38",37,16.4169,1652.7938,-8,"California","5yrave","omni-directional_wave_power_37",25213.62321,c(40.9485, -124.15)
"39",38,61.9947,9003.191,-8,"Federal","5yrave","omni-directional_wave_power_38",33196.94739,c(40.9161, -124.253)
"40",39,230.7045,21648.566,-8,"Federal","5yrave","omni-directional_wave_power_39",36668.73906,c(40.9162, -124.416)
"41",40,568.7307,32459.424,-8,"Federal","5yrave","omni-directional_wave_power_40",39511.93062,c(40.9157, -124.575)
"42",41,847.3776,45598.387,-8,"Federal","5yrave","omni-directional_wave_power_41",42116.17266,c(40.9234, -124.744)
"43",42,2924.078,58207.645,-8,"Federal","5yrave","omni-directional_wave_power_42",44174.61242,c(40.9123, -124.909)
"44",43,3034.8518,72139.37,-8,"Federal","5yrave","omni-directional_wave_power_43",45648.49322,c(40.9238, -125.087)
"45",44,1.216,288.44968,-8,"California","5yrave","omni-directional_wave_power_44",1604.169281,c(40.736, -124.252)
"46",45,29.6973,3040.3955,-8,"California","5yrave","omni-directional_wave_power_45",31517.05136,c(40.766, -124.281)
"47",46,73.3829,13032.602,-8,"Federal","5yrave","omni-directional_wave_power_46",36205.60678,c(40.7487, -124.416)
"48",47,637.0037,25851.383,-8,"Federal","5yrave","omni-directional_wave_power_47",39836.93165,c(40.7534, -124.586)
"49",48,1225.7461,39508.496,-8,"Federal","5yrave","omni-directional_wave_power_48",42518.5779,c(40.7482, -124.763)
"50",49,2678.2874,51972.008,-8,"Federal","5yrave","omni-directional_wave_power_49",44346.63568,c(40.7517, -124.92)
"51",50,2716.5527,64041.47,-8,"Federal","5yrave","omni-directional_wave_power_50",45597.33093,c(40.7531, -125.075)
"52",51,15.0652,765.1283,-8,"California","5yrave","omni-directional_wave_power_51",35358.07924,c(40.6463, -124.322)
"53",52,42.4098,6556.813,-8,"Federal","5yrave","omni-directional_wave_power_52",33829.83855,c(40.5881, -124.427)
"54",53,154.8743,18514.086,-8,"Federal","5yrave","omni-directional_wave_power_53",40369.33761,c(40.5831, -124.585)
"55",54,1181.9579,30999.1,-8,"Federal","5yrave","omni-directional_wave_power_54",42411.84513,c(40.5762, -124.744)
"56",55,2642.489,46306.484,-8,"Federal","5yrave","omni-directional_wave_power_55",44442.02907,c(40.5901, -124.925)
"57",56,2670.8914,59831.125,-8,"Federal","5yrave","omni-directional_wave_power_56",45700.888,c(40.5873, -125.094)
"58",57,35.2198,3237.8413,-8,"California","5yrave","omni-directional_wave_power_57",37218.1665,c(40.4121, -124.439)
"59",58,168.9499,14688.055,-8,"Federal","5yrave","omni-directional_wave_power_58",40241.75272,c(40.4153, -124.586)
"60",59,1805.305,28179.08,-8,"Federal","5yrave","omni-directional_wave_power_59",42600.9653,c(40.4133, -124.746)
"61",60,2385.3184,43126.586,-8,"Federal","5yrave","omni-directional_wave_power_60",44497.75655,c(40.4169, -124.923)
"62",61,2419.194,56995.473,-8,"Federal","5yrave","omni-directional_wave_power_61",45664.23239,c(40.4244, -125.087)
"63",62,31.7175,1592.3036,-8,"California","5yrave","omni-directional_wave_power_62",26488.17834,c(40.1912, -124.3)
"64",63,88.5351,5133.6284,-8,"California","5yrave","omni-directional_wave_power_63",40292.64709,c(40.2473, -124.421)
