OID,CID,longitude,latitude
895,3,-120.7643335,30.756954
7364,3,-120.8678226,30.75800005
8617,3,-120.7587834,30.78913393
9698,3,-120.8855624,30.79781212
3349,3,-120.8376387,30.80479848
1926,3,-120.8255005,30.80781978
7808,3,-120.8982471,30.81366037
1542,3,-120.7538944,30.81532762
9301,3,-120.9623086,30.81568923
4821,3,-120.631333,30.81750259
6460,3,-120.5834349,30.82221673
7191,3,-120.9587703,30.82333084
4568,3,-120.9615897,30.82376992
9826,3,-120.963187,30.83682892
2974,3,-120.3962472,30.84231617
4834,3,-120.9853548,30.84370631
4910,3,-120.3297183,30.84888675
6734,3,-120.6663341,30.84905352
2328,3,-120.5070809,30.85224462
7133,3,-120.6368772,30.85497168
8131,3,-120.5091459,30.86074067
8874,3,-120.4504158,30.86725679
371,3,-121.0057614,30.8684586
6654,3,-120.4543833,30.87654859
2483,3,-120.3239775,30.87956989
9194,3,-120.321804,30.88068205
4871,3,-120.8791005,30.88118761
4897,3,-120.1094027,30.88186307
2375,3,-120.946185,30.88270331
3052,3,-120.8302229,30.8870333
1192,3,-120.8536239,30.88796623
1223,3,-120.9439933,30.89523588
6304,3,-120.8359084,30.89623937
6221,3,-120.5246974,30.90037191
6023,3,-120.2839821,30.90511448
5073,3,-120.4970992,30.90625634
9663,3,-120.9722253,30.91259014
1212,3,-120.0306241,30.91679697
6774,3,-120.4612557,30.92662609
843,3,-120.205766,30.93020866
1876,3,-120.1872689,30.93595762
6290,3,-120.2158432,30.93598493
1499,3,-120.4486213,30.94111509
9597,3,-120.0793333,30.94320316
5702,3,-120.7577462,30.94400495
4298,3,-119.8062335,30.94446512
5764,3,-120.8081619,30.94451721
5545,3,-120.9025153,30.95503917
4991,3,-120.9935046,30.96398497
6540,3,-120.673306,30.96575332
5713,3,-119.7834006,30.96777028
8546,3,-120.9445729,30.9735327
7481,3,-120.1901085,30.97604524
6951,3,-119.9602748,30.97754392
8377,3,-119.8297123,30.97778277
7462,3,-120.8152047,30.9778341
949,3,-120.0467852,30.98112625
7633,3,-120.8856098,30.98364613
3922,3,-120.9546112,30.98889459
8303,3,-120.8021793,30.99042966
3094,3,-120.3787728,30.99108129
9967,3,-120.854785,30.99566658
5619,3,-120.8874423,30.99762144
2136,3,-119.8276695,30.99806145
7274,3,-119.6099397,30.99809922
9162,3,-120.1465385,30.99865768
7483,3,-119.6063325,30.99867218
6841,3,-120.9368261,30.99883057
587,3,-120.9073352,31.00132968
1978,3,-120.7530215,31.00244293
4531,3,-119.7480376,31.0055785
1142,3,-119.921979,31.0069054
2134,3,-120.7567963,31.01021829
9390,3,-120.3783061,31.0107441
7854,3,-120.4293412,31.01283939
7047,3,-120.7213956,31.01657682
4245,3,-119.8675223,31.01705032
9572,3,-119.2886291,31.0228417
1913,3,-120.476318,31.02476821
942,3,-120.2587613,31.02555407
1018,3,-120.592254,31.03512278
1663,3,-120.531101,31.03811108
2623,3,-119.985228,31.03811586
4408,3,-120.4828798,31.03839073
3403,3,-120.0768343,31.03967965
3595,3,-119.9274926,31.0424602
6140,3,-119.2720586,31.04536175
180,3,-120.4933601,31.04779093
7284,3,-119.3431435,31.04868753
2681,3,-119.3668096,31.04927584
3716,3,-120.3152763,31.04996392
5345,3,-120.5354858,31.05036247
356,3,-119.5071528,31.0528607
4209,3,-119.2945913,31.05367408
1909,3,-120.9231658,31.05402534
7258,3,-119.2139602,31.05711342
6025,3,-119.4784772,31.06017748
8612,3,-119.786968,31.06124637
1716,3,-119.8911244,31.06174442
7146,3,-119.3619308,31.06243318
5955,3,-121.0220954,31.06252218
9316,3,-119.0106259,31.06503205
5886,3,-120.0972932,31.06986175
2846,3,-120.6267529,31.07076298
372,3,-120.0341716,31.07156048
4265,3,-119.7031219,31.07260899
8437,3,-120.9997133,31.07415773
2635,3,-120.5280645,31.07453593
7046,3,-121.0712703,31.07457534
811,3,-119.5417487,31.07726745
7586,3,-118.9667771,31.08133513
4596,3,-120.0757632,31.08217792
1088,3,-120.6852199,31.08226542
1541,3,-119.469598,31.08292805
4038,3,-120.9660449,31.08304538
2636,3,-120.5073949,31.08422035
3962,3,-119.1283222,31.08584623
8626,3,-120.8133651,31.08717189
4690,3,-119.5431762,31.08739069
7640,3,-120.2186077,31.0884484
6749,3,-120.7379295,31.08863239
1865,3,-119.8164909,31.08928211
6618,3,-119.5474081,31.09035117
7241,3,-119.0544235,31.09239441
3240,3,-119.4146616,31.09319874
6779,3,-119.459484,31.09339354
7547,3,-119.2601405,31.09873539
9011,3,-120.2529237,31.09903599
4671,3,-121.0396412,31.10127942
6411,3,-119.815569,31.10146581
8879,3,-120.2221257,31.1037424
3934,3,-119.8641503,31.10419064
8765,3,-120.2641183,31.10467209
379,3,-120.2535226,31.10579207
1772,3,-120.4843632,31.10633176
8866,3,-119.9449893,31.10700721
5042,3,-120.9259175,31.10893799
9321,3,-120.4702149,31.11065939
2330,3,-119.0910714,31.11307617
1765,3,-119.3066038,31.11484908
3895,3,-118.9201754,31.11549609
328,3,-120.2751507,31.11635259
6715,3,-119.5289499,31.12144479
476,3,-118.6824664,31.12296499
1773,3,-120.910562,31.12321039
9991,3,-119.7892781,31.12481647
4938,3,-120.7373154,31.12519104
3516,3,-118.7096764,31.12629841
6886,3,-119.7289683,31.12839315
5909,3,-119.7447259,31.12999643
7795,3,-120.719241,31.13024965
6946,3,-120.8461816,31.13156936
5281,3,-120.265787,31.13172104
1419,3,-119.5623207,31.13508128
5837,3,-120.5580116,31.13529187
1741,3,-120.5044598,31.14122305
1846,3,-120.4143143,31.14262046
3284,3,-119.0613681,31.1432643
9720,3,-119.9712886,31.14375974
3807,3,-120.2349307,31.1443867
9678,3,-118.7600766,31.14444546
6587,3,-119.046264,31.14453055
6773,3,-119.5662357,31.14489175
8134,3,-118.8809338,31.14531434
9050,3,-120.125097,31.14655057
6200,3,-120.2076795,31.14672629
5631,3,-119.2368949,31.15012872
1639,3,-120.2606723,31.15058962
2680,3,-120.778695,31.15088701
3706,3,-120.0041151,31.15539297
1974,3,-120.0372826,31.15590262
4825,3,-120.3235783,31.15658732
8561,3,-119.4765127,31.16028159
3837,3,-118.6808609,31.16091226
1522,3,-119.8099524,31.16406567
3671,3,-119.2419653,31.1685361
2968,3,-120.4442522,31.16968119
9687,3,-119.7339242,31.17315019
4803,3,-120.7582446,31.17482227
2993,3,-119.9778309,31.17506094
6404,3,-120.1911277,31.17579872
6508,3,-120.5503344,31.17855907
4935,3,-120.7464576,31.17925516
9190,3,-121.1865344,31.18020109
7913,3,-119.4413745,31.18048118
5711,3,-119.4462706,31.18284801
3897,3,-120.5585755,31.184372
3067,3,-119.3960706,31.18625076
86,3,-118.7887056,31.18793102
888,3,-120.1252146,31.18820688
9732,3,-118.734721,31.19448034
4117,3,-120.5425066,31.19651722
9210,3,-120.8916924,31.19801678
