OID,CID,Lat,Long,together
1,3,-122.2662758,33.43302231,"(-122.26627575,33.43302231)"
2,3,-119.2273606,31.61249381,"(-119.22736058,31.61249381)"
3,3,-126.4838849,39.66450632,"(-126.48388491,39.66450632)"
4,3,-124.2796309,41.3827406,"(-124.27963086,41.3827406)"
5,3,-122.5754201,37.77884133,"(-122.57542007,37.77884133)"
6,3,-125.8583919,40.80258157,"(-125.85839192,40.80258157)"
7,3,-120.1286896,33.97261135,"(-120.12868963,33.97261135)"
8,3,-120.7228975,33.22058311,"(-120.72289747,33.22058311)"
9,3,-124.5344453,37.67499672,"(-124.5344453,37.67499672)"
10,3,-118.9923048,33.46381452,"(-118.99230476,33.46381452)"
11,3,-125.2022101,38.79234771,"(-125.20221008,38.79234771)"
12,3,-125.5174044,40.69455752,"(-125.51740439,40.69455752)"
13,3,-122.4781235,37.15333017,"(-122.47812346,37.15333017)"
14,3,-118.0747503,32.9058341,"(-118.07475033,32.9058341)"
15,3,-122.2189062,32.49970385,"(-122.2189062,32.49970385)"
16,3,-122.6914419,36.26079116,"(-122.69144191,36.26079116)"
17,3,-121.2415269,35.54803639,"(-121.24152691,35.54803639)"
18,3,-122.6041201,37.40053914,"(-122.60412012,37.40053914)"
19,3,-121.411298,34.99169362,"(-121.41129802,34.99169362)"
20,3,-123.9663522,39.0854843,"(-123.96635222,39.0854843)"
21,3,-125.3373073,39.93596251,"(-125.33730731,39.93596251)"
22,3,-125.0327606,40.12687466,"(-125.03276061,40.12687466)"
23,3,-122.2122998,36.01994075,"(-122.2122998,36.01994075)"
24,3,-121.3839735,32.91725058,"(-121.38397345,32.91725058)"
25,3,-124.5695015,35.8941776,"(-124.56950152,35.8941776)"
26,3,-125.5149693,37.62168257,"(-125.51496925,37.62168257)"
27,3,-118.8382874,31.4695265,"(-118.83828737,31.4695265)"
28,3,-119.9817342,32.62101697,"(-119.98173418,32.62101697)"
29,3,-118.9699212,33.86323108,"(-118.96992121,33.86323108)"
30,3,-124.6594569,40.26190077,"(-124.65945688,40.26190077)"
31,3,-118.6048752,33.14354606,"(-118.60487522,33.14354606)"
32,3,-123.6566941,36.15905366,"(-123.65669409,36.15905366)"
33,3,-120.4171033,33.71383246,"(-120.41710329,33.71383246)"
34,3,-124.0708416,38.4120358,"(-124.0708416,38.4120358)"
35,3,-125.2469198,40.73073286,"(-125.24691984,40.73073286)"
36,3,-124.8950893,36.91911981,"(-124.89508933,36.91911981)"
37,3,-124.8597657,39.27756097,"(-124.85976568,39.27756097)"
38,3,-124.398431,39.86648002,"(-124.39843103,39.86648002)"
39,3,-119.7640646,32.40379796,"(-119.76406462,32.40379796)"
