OID,CID,longitude,latitude
7494,3,-122.941492,35.77684528
8652,3,-124.6577583,35.77784906
5671,3,-121.4394998,35.77793313
3431,3,-124.5084292,35.77893825
263,3,-122.4697466,35.77904836
2791,3,-123.3755133,35.78058271
3651,3,-122.5561767,35.780957
9065,3,-123.5624697,35.78281363
7831,3,-124.1859871,35.78377785
7505,3,-122.5532569,35.78457013
3424,3,-121.8717997,35.78641123
8869,3,-121.6248011,35.78663802
1777,3,-121.4555997,35.78906177
6695,3,-121.7447663,35.79000596
8755,3,-121.5705189,35.79053207
7266,3,-121.8131641,35.7906676
9215,3,-122.6548409,35.79131752
1312,3,-123.2045077,35.79199989
1551,3,-123.4114987,35.79287719
8348,3,-124.5659914,35.7942645
1559,3,-122.9671842,35.79541957
429,3,-122.4556879,35.7955281
2579,3,-122.2020558,35.79695818
4746,3,-122.8110595,35.79790379
4749,3,-122.4965371,35.79888566
7772,3,-122.5083586,35.80024501
2783,3,-122.9373355,35.80025931
4418,3,-121.8200289,35.80410074
7989,3,-123.7376285,35.80414794
8709,3,-122.5771188,35.80678455
4436,3,-123.4655666,35.80733273
4643,3,-124.2775262,35.80741346
6574,3,-122.6524891,35.8085441
4868,3,-122.4572228,35.80947481
5209,3,-122.9287503,35.80987066
5468,3,-121.5857959,35.81002506
6194,3,-123.9452694,35.81005337
6072,3,-122.5593699,35.81123428
6525,3,-123.5013823,35.81275755
2245,3,-123.5309534,35.81332184
181,3,-121.7520468,35.81449772
3979,3,-121.5090598,35.81486833
9091,3,-122.8350804,35.81501127
358,3,-121.5323562,35.81726789
7004,3,-124.7351199,35.81898103
8835,3,-124.7342903,35.81994022
3797,3,-122.7655356,35.82167085
5059,3,-124.5868811,35.82251492
3288,3,-123.2875365,35.82362395
5465,3,-121.731843,35.82472183
2803,3,-124.7113529,35.82645316
3884,3,-122.929599,35.82653461
6459,3,-124.6726894,35.82662791
2097,3,-122.9650489,35.82668052
1359,3,-121.4497563,35.82702921
1982,3,-121.5224279,35.82930913
1471,3,-121.7607065,35.83132814
5957,3,-123.8224101,35.8318637
8200,3,-123.0212061,35.83254661
436,3,-121.4752464,35.83269991
3071,3,-123.4949267,35.833584
5008,3,-123.692281,35.8345313
389,3,-123.9605533,35.83551695
2436,3,-121.9956087,35.83818953
6069,3,-124.3151272,35.83944154
2226,3,-122.5495381,35.83960501
2602,3,-123.7827163,35.84249794
3863,3,-122.9760081,35.84270197
5425,3,-122.2950898,35.84335742
1216,3,-124.5682783,35.84397779
8870,3,-123.1626111,35.84471502
728,3,-122.506646,35.8452664
2424,3,-124.1654592,35.84534221
6616,3,-124.646273,35.84625049
812,3,-123.5508928,35.84671808
5329,3,-123.9499163,35.84894522
536,3,-122.3517785,35.85211852
6202,3,-123.8983208,35.85450552
3151,3,-124.4211387,35.85581697
4370,3,-123.8358242,35.85792337
7486,3,-122.0843251,35.86002985
6333,3,-124.4910847,35.86232129
4252,3,-123.771371,35.86349789
4565,3,-122.998117,35.86584921
4653,3,-121.5449998,35.86635218
8768,3,-121.7352045,35.86690979
9133,3,-124.5615263,35.86694547
6735,3,-123.6047667,35.86736178
337,3,-123.8518713,35.86848955
924,3,-123.0544166,35.87013942
5970,3,-121.654447,35.87070176
5402,3,-124.0949143,35.87156033
3991,3,-123.6678569,35.87239914
7521,3,-121.5836771,35.8728521
7078,3,-122.6585475,35.8735638
8813,3,-124.5713623,35.87362983
2692,3,-123.8778211,35.87377088
3354,3,-121.8246455,35.87533572
3519,3,-124.7805275,35.88017656
6783,3,-124.2161161,35.88079758
8025,3,-124.8332074,35.88359763
6657,3,-123.7972901,35.88558128
6753,3,-123.800947,35.88578536
2016,3,-123.449318,35.88672413
8886,3,-123.1033829,35.88680079
8757,3,-123.1258378,35.88991122
1589,3,-124.397093,35.89241929
1030,3,-122.109388,35.89313373
25,3,-124.5695015,35.8941776
4360,3,-123.0027632,35.89453979
5477,3,-123.3055451,35.89683664
2548,3,-124.3900474,35.899241
582,3,-123.9940475,35.90053511
2239,3,-124.1050335,35.90150554
8490,3,-123.4455881,35.9015757
8324,3,-123.643462,35.90247739
8305,3,-122.4483791,35.90272495
2544,3,-123.1511126,35.9033473
4028,3,-123.217794,35.90504833
4094,3,-121.7924704,35.91099254
3158,3,-122.1846052,35.91259167
4695,3,-124.4742957,35.91319399
5836,3,-121.5562569,35.91350073
1292,3,-123.5684588,35.91452922
7937,3,-123.4329804,35.91527621
1693,3,-123.4704418,35.91571798
161,3,-123.9625562,35.9176002
4969,3,-121.6925846,35.91975767
7675,3,-123.6635225,35.9200796
4944,3,-122.2055619,35.92101998
5115,3,-124.0438817,35.92170445
3891,3,-124.6940467,35.92197653
3208,3,-124.5257155,35.92490593
818,3,-122.444034,35.92586359
5061,3,-122.1298539,35.92650314
6388,3,-123.6780629,35.92879316
8682,3,-123.0161745,35.92890685
796,3,-123.9691445,35.9291201
7232,3,-122.5833076,35.92912579
8703,3,-124.1719366,35.93028142
4633,3,-121.8702806,35.93298725
2763,3,-121.739099,35.93360619
8283,3,-124.0083348,35.93547444
830,3,-123.9445066,35.93552671
7019,3,-123.8590814,35.9361782
3184,3,-123.4115335,35.93632289
444,3,-122.7843215,35.93752282
2035,3,-123.5965599,35.93817984
