OID,CID,longitude,latitude
1346,3,-125.9612005,38.47331816
1622,3,-125.8399716,38.47513708
9839,3,-125.7206754,38.47526634
5765,3,-123.3533728,38.47587531
471,3,-125.3862254,38.47830912
313,3,-126.3801634,38.47987455
4316,3,-124.5934936,38.48010016
4726,3,-123.8984559,38.48046039
3004,3,-124.864643,38.48091792
9332,3,-126.4329121,38.48499946
233,3,-124.1408314,38.48680718
2524,3,-126.3600292,38.4875803
8013,3,-123.2712271,38.49079806
4369,3,-124.2253339,38.49131673
495,3,-126.1598206,38.49178351
8616,3,-123.6743078,38.49180992
7415,3,-126.8428929,38.4922231
6599,3,-126.359299,38.49346465
6538,3,-125.3036258,38.49405503
5661,3,-123.9877881,38.4955067
5891,3,-123.5851094,38.49655707
986,3,-125.6691621,38.49711632
322,3,-124.322533,38.49804075
8404,3,-124.6569528,38.49811094
3768,3,-126.3445624,38.49837059
4484,3,-125.2772026,38.49857189
4186,3,-124.2884475,38.50467985
4685,3,-126.6371352,38.50498388
2609,3,-123.8567107,38.50584642
5809,3,-124.5879969,38.50600643
2589,3,-124.8637982,38.5060782
7987,3,-126.2287775,38.51045641
9457,3,-126.1440386,38.51330088
9778,3,-125.3819088,38.51336288
3165,3,-124.7901402,38.51432142
6089,3,-125.7954481,38.51519932
1852,3,-123.4461924,38.51551978
9029,3,-126.5744773,38.51796877
6944,3,-123.40044,38.5181458
2497,3,-125.4230215,38.51966111
4048,3,-125.1693656,38.52074722
1477,3,-124.4503376,38.52084043
7070,3,-126.0619026,38.52143146
7812,3,-125.6909571,38.52189307
8395,3,-126.3515244,38.52231612
8001,3,-125.7277883,38.52317897
2439,3,-124.7951773,38.52367971
4757,3,-123.5251378,38.52657463
5359,3,-125.1479532,38.52735782
618,3,-124.8069314,38.52952445
918,3,-126.4149269,38.53162349
7328,3,-124.2438418,38.5318412
7420,3,-123.7377245,38.53264553
2794,3,-124.9751997,38.53421036
6846,3,-124.4536227,38.53853585
713,3,-124.5193119,38.5427027
9671,3,-125.8472771,38.54296913
2537,3,-125.348416,38.54424975
5520,3,-126.4584573,38.54543515
3942,3,-126.1897343,38.5458997
5183,3,-123.327523,38.54703858
6658,3,-125.2670327,38.54730374
5352,3,-125.4822993,38.54758511
9096,3,-125.1694605,38.54769201
4097,3,-126.0919875,38.54792008
5055,3,-124.4794465,38.54984696
2929,3,-125.1046975,38.5504539
1135,3,-125.0789726,38.55157668
3075,3,-124.069406,38.55277229
7974,3,-123.4114979,38.55512065
6107,3,-124.080828,38.55612856
8526,3,-126.3748867,38.55626079
8275,3,-126.3143021,38.55638947
7802,3,-125.7986341,38.55806888
2107,3,-123.6214257,38.56049865
106,3,-124.3879872,38.5617713
6902,3,-125.3731567,38.56475556
1645,3,-124.4758026,38.56597579
2627,3,-125.4160433,38.56682146
153,3,-126.3815792,38.57090928
1137,3,-124.9024392,38.57146247
6686,3,-124.7807532,38.57160084
4812,3,-125.9253454,38.57169645
5060,3,-124.9402482,38.57175754
419,3,-124.2901254,38.57185271
9366,3,-126.5843775,38.57246622
6008,3,-126.0635046,38.57546423
3339,3,-123.7052405,38.57666305
3634,3,-126.8490575,38.57682473
5278,3,-124.1581073,38.57986801
7637,3,-126.5419546,38.58022104
4681,3,-126.1537831,38.58104063
6703,3,-126.1816664,38.58157154
5282,3,-125.7982655,38.58182173
8090,3,-126.0781626,38.58199224
6728,3,-126.617528,38.58250021
